category,descrip,name,topics,type
b'Government',"b'This represents the top 10 searches that visitors have conducted on www.austintexas.gov. The Number of Queries is calculated by Unique Pageviews per month. The data represents a one month period. LAST UPDATE MAY 1, 2013.'",b'Top-10-Searches-Chart',Government/Top-10-Searches-Chart/q37s-pq,b'Chart'
b'Fun',b'This is a map of off-leash areas for dogs.',b'Off- Leash Areas',Fun/Off-Leash-Areas/iyf6-bziq,b'Map'
b'Government',"b'This map shows all stray cats and dogs that are currently listed in AAC\'s database for no longer than a week. Most will be located at AAC, but some will be held by citizens, which will be indicated on the ""At AAC"" column. AAC will post an image as soon as possible, which can be accessed by clicking the link in the ""Image Link"" column. Please also check http://www.austintexas.gov/department/lost-found-pet for more information or contact customer service at 512.978.0500 or animal.customerservice@austintexas.gov.'",b'Austin Animal Center Found Pets Map',Government/Austin-Animal-Center-Found-Pets-Map/hye6-gvq2,b'Map'
b'Public Safety',"b'No declared Dangerous Dog in the City of Austin and Travis County should ever be running at large. They are court ordered to be restrained at all times and should be wearing a large tag identifying them as a Dangerous Dog. They have attacked in the past. The owner is required to provide $100,000 in financial responsibility. If they attack again the court could order them put to sleep. *Last updated January 2015*'",b'Map of Declared Dangerous Dogs',Public-Safety/Map-of-Declared-Dangerous-Dogs/ri75-,b'Map'
,,b'Performance ATX_2015',ries/s/mfnw-2iaf,b'Story'
b'Public Safety',"b'Please read and understand the following information. \n\nUnderstanding the following conditions will allow you to get the most out of the data provided.\n???\tDue to the methodological differences in data collection, different data sources may produce different results. \n???\tOur on-line database is continuously being updated. The data provided here represents a particular point in time. \nSearches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months. \nDue to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written.\nTotals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics.\nThe Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.'",b'APD Incident Extract YTD',Public-Safety/APD-Incident-Extract-YTD/b4y9-5x39,b'Dataset'
,b'Provides restaurant scores for inspections performed within the last three years. Online search of this data set also available at: http://www.ci.austin.tx.us/health/restaurant/search.cfm',b'Restaurant Inspection Scores',Restaurant-Inspection-Scores/ecmv-9,b'Dataset'
b'Public Safety',b'Location information for Austin Fire stations',b'Austin Fire Station Map',Public-Safety/Austin-Fire-Station-Map/szku-46r,b'Map'
b'Financial',"b'Visit: https://www.ci.austin.tx.us/financeonline/finance/financial_docs.cfm?ws=3&pg=1 for information if you find your name on the list. Every year, various departments of the City of Austin report unclaimed cash and valuables, from uncashed checks, deposits, refunds, overpayments or any other transactions creating a credit balance valued at $100 or less.\nContact: 512-974-7890'",b'Unclaimed Property',Financial/Unclaimed-Property/h3i4-5e5,b'Dataset'
,b'This is a monthly upload of the Community Registry. Neighborhood groups register with the City of Austin to receive notices of developments within their specified boundaries.',b'Austintexas.gov - Community Registry - Updated once a Month',Austintexas-gov-Community-Registry-Updated-once-a-/u3yy-shmz,b'Dataset'
