category,descrip,name,topics,type
b'Public Safety',b'Please note that this data is no longer updated as E911 has updated the terms of service for their website as we are no longer able to scrape data from it. \nHamilton county E911 active calls scraped from http://hamilton911.discoveregov.com/ \nSome records have been removed to be in compliance with TN Ann. Code \xc2\xa7\xc2\xa7 37-1-409; 37-1-612 for the confidential of records of child abuse .',b'Hamilton County E911 Active Calls',s://data.chattlibrary.org/Public-Safety/Hamilton-County-E911-Active-Calls/hy6d-x,b'Dataset'
b'Government',b'311 service request for the city of Chattanooga. Data is from 2003 to the present date.',b'311 Service Requests',s://data.chattlibrary.org/Government/311-Service-Requests/9iep-6yhz,b'Dataset'
b'Government',b'Public Works service requests from 2003 to 2016. Data includes information on service requests received by Public Works. Where the service request was initiated by 311 the service request number from 311 is also included.',b'Service Requests',s://data.chattlibrary.org/Government/Service-Requests/e968-fnk9,b'Dataset'
b'Government',b'This file contains the history status for all permits within the City of Chattanooga. Data is provided from May 1st 2006 to current date.',b'All Permits Status History',s://data.chattlibrary.org/Government/All-Permits-Status-History/2y2g-46,b'Dataset'
b'Transportation',b'Trip data for the Bike Chattanooga system. Includes data from the start of the system to date. Data is updated about every 6 months.',b'Bike Chattanooga Trip Data',s://data.chattlibrary.org/Transportation/Bike-Chattanooga-Trip-Data/8yba-nwv8,b'Dataset'
b'Public Safety',,b'Traffic Citations By Location 2012 To Present',s://data.chattlibrary.org/Public-Safety/Traffic-Citations-By-Location-2012-To-Present/wnd5-ss2z,b'Dataset'
b'Public Safety',,b'Map of Citations (2012 - 2014)',s://data.chattlibrary.org/Public-Safety/Map-of-Citations-2012-2014-/weg4-56u4,b'Map'
b'Public Safety',b'Crime data for the City of Chattanooga from January 2011 to May 2013.',b'Crime Data',s://data.chattlibrary.org/Public-Safety/Crime-Data/jhmu-chz9,b'Filtered View'
b'Government',,b'Bike Chattanooga 2013 Trip Data',s://data.chattlibrary.org/Government/Bike-Chattanooga-2013-Trip-Data/fhtm-hwn,b'Filtered View'
b'Government',b'Permit inspection information for all permits within the City of Chattanooga.',b'All Permit Inspector',s://data.chattlibrary.org/Government/All-Permit-Inspector/irjb-uw2,b'Dataset'
