category,descrip,name,topics,type
b'Finance & Administration',"b'Disclaimer: This list was last updated on 06/28/2017 and is updated monthly on the website.  If up-to-the-minute accuracy is needed, contact us at 312-603-6328. This dataset contains registered Sweetened Beverage Distributors.'",b'Sweetened Beverage Distributors Registered with the Cook County Department of Revenue',datacatalog.cookcountyil.gov/Finance-Administration/Sweetened-Beverage-Distributors-Registered-with-th/fk38-788,b'Dataset'
,b'Fiscal year end and current year to date expenditure and appropriation data.',b'Expenditure Data',erformance.cookcountyil.gov/dataset/Expenditure-Data/pbhp-wv9,b'Dataset'
b'Public Safety',"b'Monthly volume of E911 calls received by Cook County ETSB 911. Counts are broken up by call type and Remote Site location. The Cook County ETSB provides 9-1-1 services for all Unincorporated Cook County and the municipalities of Dixmoor, Ford Heights, Golf, Northlake, Phoenix, Robbins, and Stone Park.'",b'ETSB 911 Monthly Call Volume Data Lens',datacatalog.cookcountyil.gov/Public-Safety/ETSB-911-Monthly-Call-Volume-Data-Lens/b3hg-kx9e,b'Data Lens'
b'Public Safety',b'Monthly volume of E911 calls received by Cook County ETSB 911.',b'ETSB 911 Monthly Call Volume Timeline',datacatalog.cookcountyil.gov/Public-Safety/ETSB-911-Monthly-Call-Volume-Timeline/rwb7-qdfx,b'Data Lens'
b'Public Health',"b'Cook County Department of Public Health Suburban Cook County District boundaries. This dataset contains municipal and township boundaries for Suburban Cook County with attributes designating what CCDPH district the area is in. The names in the ""DISTRICT"" field can be used to join with other Public Health Open Datasets on this portal. The ""CCDPHJURIS"" field states whether the area is part of CCDPH Jurisdiction.'",b'Public Health District Boundaries',datacatalog.cookcountyil.gov/Public-Health/Public-Health-District-Boundaries/c7pv-dy44,b'Map'
b'Finance & Administration',b'Position details for the Adopted Fiscal Year 2017 Budget Summary of Positions by Business Unit. For more information on the budget see http://www.cookcountyil.gov/budget/',b'Budget - Fiscal Year 2017 Adopted - Budget Summary Of Positions By Business Unit Data Lens',datacatalog.cookcountyil.gov/Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-Of-/y8cm-qn5,b'Data Lens'
b'Finance & Administration',b'Details of the Adopted Fiscal Year 2017 Department Line Item Budget. For more information on the budget see http://www.cookcountyil.gov/budget/',b'Budget - Fiscal Year 2017 Adopted - Budget Summary By Object Classification Data Lens',datacatalog.cookcountyil.gov/Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-By-/qdgc-xj55,b'Data Lens'
b'Finance & Administration',b'Position details for the Adopted Fiscal Year 2017 Budget Summary of Positions by Business Unit. For more information on the budget see http://www.cookcountyil.gov/budget/',b'Budget - Fiscal Year 2017 Adopted - Budget Summary Of Positions By Business Unit',datacatalog.cookcountyil.gov/Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-Of-/ngjf-wnd5,b'Dataset'
b'Finance & Administration',b'Details of the Adopted Fiscal Year 2017 Department Line Item Budget. For more information on the budget see http://www.cookcountyil.gov/budget/',b'Budget - Fiscal Year 2017 Adopted - Budget Summary By Object Classification',datacatalog.cookcountyil.gov/Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-By-/vshx-zwf9,b'Dataset'
b'Public Health',b'Table of Contents for the Selected Causes of Death data compiled by Cook County Department of Public Health available at https://datacatalog.cookcountyil.gov/d/jh9b-icit',b'Public Health Death Table Of Contents',datacatalog.cookcountyil.gov/Public-Health/Public-Health-Death-Table-Of-Contents/mk8j-7v,b'File or Document'
