category,descrip,name,topics,type
b'Public Safety',b'Current Year Fire Incidents updated on a nightly basis',b'Building Fires',Public-Safety/Building-Fires/s663-hw,b'Filtered View'
b'Public Safety',"b'This dataset reflects reported incidents of crime (with the exception of sexual assaults, which are excluded by statute) that occurred in the City of Hartford from 2005 to the present, minus the most recent ten days. Data is extracted from the City of Hartford Police Department\'s CrimeView database on a daily basis. Should you have questions about this dataset, you may contact the Crime Analysis Division of the Hartford Police Department at 860.757.4020 or policechief@Hartford.gov. Disclaimer: These incidents are based on crimes verified by the Hartford Police Department\'s Crime Analysis Division. The crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Hartford Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Hartford Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate. The Hartford Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Hartford or Hartford Police Department web page. The user specifically acknowledges that the Hartford Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. The unauthorized use of the words ""Hartford Police Department"", ""Hartford Police"", ""HPD"" or any colorable imitation of these words or the unauthorized use of the Hartford Police Department logo is unlawful. This web page does not, in any way, authorize such use. The dataset contains more than 400,000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore, when downloading the file, select CSV from the Export menu. Open the file in an ASCII text editor, such as Wordpad, to view and search. To access a list of Hartford Police Department - Uniform Crime Reporting (UCR) codes, select the about tab on the right side of this page and scroll down to the attachments and open the PDF document.'",b'Police Incidents 01012005 to Current',Public-Safety/Police-Incidents-01012005-to-Current/889t-nwfu,b'Dataset'
b'Public Safety',b'Current Year Fire Incidents. Updated on a nightly basis. For more information on the inci_typ codes select the about tab and scroll down to the attachments and open the PDF document',b'FH_SOCRATA',Public-Safety/FH_SOCRATA/anj2-ytvy,b'Dataset'
b'Public Safety',b'Current Year Fire Incidents. Updated on a nightly basis. For more information on the inci_typ codes select the about tab and scroll down to the attachments and open the PDF document',b'HFD Incidents',Public-Safety/HFD-Incidents/j59r-v74,b'Filtered View'
b'Public Safety',"b'CT Department of Correction Facility Population Count by Date, By Status, Filter by Facility'",b'Correctional Facility Daily Population Count By Facility',ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,b'Dataset'
b'Public Safety',"b'CT Department of Correction Facility Population Count by Date, By Status, Filter by Facility and/or Date'",b'Correctional Facility Daily Population Count With Facility/Date Filter',ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-With-/fdya-crf4,b'Filtered View'
,,b'Pensioners Breakdown',ct.gov/dataset/Pensioners-Breakdown/5d4s-y7e2,b'Chart'
b'Government',,b'Employee Compensation Breakdown',ct.gov/Government/Employee-Compensation-Breakdown/tmzx-,b'Chart'
b'Business',b'Department of Economic and Community Development listing of active direct financial assistance to businesses from Fiscal Year 1993 through 9/30/16. This list also includes out of business projects and inactive (repaid/contract no longer active) projects from the last five years.',b'Business Assistance - Heat Map',ct.gov/Business/Business-Assistance-Heat-Map/94hg-qtn,b'Map'
b'Financial',b'This table has owner and property information. Updated nightly. For more information on the LUC codes select the about tab and scroll down to the attachments and open the PDF document',b'CAMAGIS_Property_Details',Financial/CAMAGIS_Property_Details/uepu-9ktm,b'Dataset'
