category,descrip,name,topics,type
b'Economic Development',"b""Buy Local It Matters at one of many neighborhood farmer's market throughout Hawaii.""","b""Hawaii Farmer's Markets""",Economic-Development/Hawaii-Farmer-s-Markets/nqfm-3etr,b'Dataset'
,b'Locations',b'Map of Med-QUEST Office Locations',et/Map-of-Med-QUEST-Office-Locations/h8pb-8yn,b'Map'
b'Health',"b'List of pesticide products currently licensed for distribution and sale in the state of Hawaii.  This list is provided for informational purposes only.  Restricted use pesticides are indicated by an asterisk (*).  Restricted use pesticides can only be distributed and sold by a licensed dealer and only to certified applicators.  It is a violation of state and federal laws to use these restricted use pesticides unless the person is a certified pesticide applicator or under the direct supervision of a certified pesticide applicator.  Product names followed by a number in parenthesis, for example (1) or (2), indicate that the product will be discontinued and will only be renewed for one or two additional years after the current license period expires.'",b'Currently Licensed Pesticide Listing',Health/Currently-Licensed-Pesticide-Listing/ufr5-uv4x,b'Filtered View'
,,b'Election Maps - Statewide',et/Election-Maps-Statewide/qjpr-gyu,b'Dataset'
b'Community',,"b'Campaign Contributions Received By Hawaii State and County Candidates From November 8, 2006 Through December 31, 2016'",Community/Campaign-Contributions-Received-By-Hawaii-State-an/jexd-xbc,b'Dataset'
b'Economic Development',b'Enterprise Zone Enrollment',b'Enterprise Zone Enrollment',Economic-Development/Enterprise-Zone-Enrollment/8kk4-467q,b'Chart'
b'Economic Development',"b""Statewide map of Hawaii's Farmer's Markets""",b'market',Economic-Development/market/puhf-qg7,b'Map'
,b'Top 10 Source Countries Of International Undergraduate Student In The US 2012',b'Top 10 Source Countries Of International Undergraduate Student In The US',et/Top-10-Source-Countries-Of-International-Undergrad/hc7h-sh6,b'Chart'
,,b'Gasoline Prices: U.S. vs. Hawaii  (Source: DBEDT)',et/Gasoline-Prices-U-S-vs-Hawaii-Source-DBEDT-/hm2n-aire,b'Chart'
,,b'Energy Costs as a Percent of GDP (Source: DBEDT)',et/Energy-Costs-as-a-Percent-of-GDP-Source-DBEDT-/qzhv-ikj4,b'Chart'
