category,descrip,name,topics,type
b'Transportation',"b'This data contains rest area related information such as services available, location information, location and rest area name. The data is intended to provide basic location and service information to the traveling public.'",b'IDOT Rest Areas Map',Transportation/IDOT-Rest-Areas-Map/dbi5-wpx,b'Map'
b'Public Health',b'Current as of April 2017',b'IDPH Home Health Agencies Directory',Public-Health/IDPH-Home-Health-Agencies-Directory/h54t-6qsk,b'Dataset'
b'Public Health',"b'A list of licensed facilities that provide assisted living and shared housing functionality. Listed are the number of units, whether they provide Alzheimer and adult day care.\nCurrent as of June 2017.'",b'IDPH Assisted Living and Shared Housing Licensed Establishments Listing',Public-Health/IDPH-Assisted-Living-and-Shared-Housing-Licensed-E/992y-d4p5,b'Dataset'
,"b'Eligible IDHR Public Contract Numbers as of June 7, 2017.  For further information contact IDHR at IDHR.PublicContracts@illinois.gov or 312-814-2431.'",b'IDHR Eligible Public Contract Numbers',et/IDHR-Eligible-Public-Contract-Numbers/6vms-ush9,b'Dataset'
b'Public Safety',b'FOID Card Applications -- 10 Year History -- 2002 through 2011',"b""ISP - Firearm Owners' Identification (FOID) Applications""",Public-Safety/ISP-Firearm-Owners-Identification-FOID-Application/vvq4-fae,b'Dataset'
b'Public Health',b'Current as of April 2017',b'IDPH Hospital Directory',Public-Health/IDPH-Hospital-Directory/wsms-teqm,b'Dataset'
b'Public Health',b'Current as of April 2017',b'IDPH Ambulatory Surgical Treatment Center Directory',Public-Health/IDPH-Ambulatory-Surgical-Treatment-Center-Director/qphf-nedb,b'Dataset'
b'Public Health',b'Current as of April 2017',b'IDPH Home Services Directory',Public-Health/IDPH-Home-Services-Directory/swzv-788,b'Dataset'
b'Public Safety',"b'City of Rockford Police Department Open Data Disclaimer:\nThe purpose of this dataset is to display a continuing dispatched Call for Service (CFS) log for the previous 72 hours. Only CFS that have been dispatched for at least one hour will display and the log will be refreshed once every hour. Some CFS have been suppressed from this log due to the sensitivity of the type of call. Primarily, any CFS involving sexual, domestic related or sensitive juvenile incidents have been suppressed.\nAll data contained on this site has been gathered through legitimate means and with the knowledge and approval of the Rockford Police Department. All data has been extracted, processed and presented through appropriate channels. \nData and Information: \nAll CFS data is obtained from the Police/911 Computer Aided Dispatch (CAD) system as reported. Information is preliminary and subject to change as police reports are submitted. Media outlets are advised to confirm any information not already verified through department issued press releases. Data is illustrative, not an official crime report, and should not be used for comparative reporting. The Rockford Police Department is not responsible for any error or omission, misuse, or results obtained from the use of this information. Although no personal information is disseminated through data.illinois.gov, remember that all subjects are presumed innocent until proven guilty in a court of law.'",b'Rockford Police Department 72 Hour Dispatch Call Log',Public-Safety/Rockford-Police-Department-72-Hour-Dispatch-Call-L/9zru-nvx,b'Dataset'
,"b'Listing of all Designated Truck Routes under the jurisdiction of the State of Illinois Department of Transportation. Class I, II, and III roadways.'",b'IDOT Designated Truck Route List',et/IDOT-Designated-Truck-Route-List/fe97-gy9,b'Dataset'
