category,descrip,name,topics,type
,,"b'Governor - General Election, 2012'",Governor-General-Election-2012/a4c5-89,b'Chart'
,,"b'Governor table - General Election, 2012'",Governor-table-General-Election-2012/is4z-kijx,b'Filtered View'
,,"b'Referendum 74 - General Election, 2012'",Referendum-74-General-Election-2012/jrs2-a2zw,b'Chart'
,,"b'Referendum 74 table - General Election,2012'",Referendum-74-table-General-Election-2012/binm-,b'Filtered View'
b'Government',b'Ballot drop box and van locations and dates for the April 2014 election.',b'August Primary 2014 : Where to Return Ballots',Government/August-Primary-2014-Where-to-Return-Ballots/rgzc-m,b'Map'
b'Government',,b'Aug 2013 Primary : Seattle Mayor',Government/Aug-2013-Primary-Seattle-Mayor/7akk-hmb,b'Chart'
b'Government',b'Ballot drop box and van locations and dates for the April 2014 election.',b'April 2014: Where to Return Ballots',Government/April-2014-Where-to-Return-Ballots/kjap-488,b'Map'
b'Government',,b'August 2014 primary - ecanvass - no PCO data',Government/August-2014-primary-ecanvass-no-PCO-data/mf99-mjj,b'Dataset'
b'Government',"b'Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.'",b'Ecanvass - November 2013 General Election',Government/Ecanvass-November-2013-General-Election/pp2r-srwm,b'Dataset'
b'Government',b'August 2013 Primary ECanvass',b'August 2013 Primary ECanvass',Government/August-2013-Primary-ECanvass/5yjz-zt75,b'Dataset'
