category,descrip,name,topics,type
b'Operations',b'Master calendar for King County events',"b'Home page events, list view'",Operations/Home-page-events-list-view/2hap-jdfq,b'Filtered View'
b'Pets',b'The following cities issue their own pet licenses. Please contact them directly for pet license information if you live within their city limits.',b'King County cities that issue their own pet licenses',Pets/King-County-cities-that-issue-their-own-pet-licens/tf7f-96m,b'Dataset'
b'Jail',"b'The Jail Bookings Open Data dataset is provided by the King County Department of Adult and Juvenile Detention. The dataset contains adult jail bookings which have occurred within the last twelve months; specific dates are indicated on the web site. \nThe data provided is a snapshot and is current as of the date and time it was extracted from the jail management systems. Every effort has been made to ensure the accuracy of data listed at the time of extraction. Updates, corrections, and additions may have occurred since the extraction date and time. \nThis dataset provides information associated with the booking of an individual into a King County jail facility, and not with any court cause, case, or criminal filing pursuant to the booking event. This information does not reflect the criminal history or criminal status of any inmate currently or previously in custody. \nCurrent information about a specific booking event can be obtained by calling the Department of Adult and Juvenile Detention at (206) 296-1234 or by visiting our Jail Inmate Lookup Service (JILS). http://ingress.kingcounty.gov/inmatelookup/'","b'Adult Jail Booking June 1, 2016 to May 31, 2017 as of June 6, 2017'",Jail/Adult-Jail-Booking-June-1-2016-to-May-31-2017-as-o/j56h-zgnm,b'Dataset'
b'Health',"b'Health Department inspection results for food service establishments in King County, 2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last updated on 06/27/2017 and is current from 1/1/2006 to 06/23/2017.'",b'Food Establishment Inspection Data',Health/Food-Establishment-Inspection-Data/f29f-zza5,b'Dataset'
b'Jail',"b'The Jail Bookings Open Data dataset is provided by the King County Department of Adult and Juvenile Detention. The dataset contains adult jail bookings which have occurred within the last twelve months; specific dates are indicated on the web site. \nThe data provided is a snapshot and is current as of the date and time it was extracted from the jail management systems. Every effort has been made to ensure the accuracy of data listed at the time of extraction. Updates, corrections, and additions may have occurred since the extraction date and time. \nThis dataset provides information associated with the booking of an individual into a King County jail facility, and not with any court cause, case, or criminal filing pursuant to the booking event. This information does not reflect the criminal history or criminal status of any inmate currently or previously in custody. \nCurrent information about a specific booking event can be obtained by calling the Department of Adult and Juvenile Detention at (206) 296-1234 or by visiting our Jail Inmate Lookup Service (JILS). http://ingress.kingcounty.gov/inmatelookup/'","b'Names, dates, charges'",Jail/Names-dates-charges/yri2-fef8,b'Filtered View'
b'Election results',b'November 2010 election; final/official results by precinct.',b'2010 General - Election Results by precinct (complete eCanvass dataset)',Election-results/2010-General-Election-Results-by-precinct-complete/jet5-,b'Dataset'
b'Health',"b'Health Department inspection results for food service establishments in King County, 2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last Updated on 01/27/2011 and is current from 1/1/2006 to 01/24/2011.'",b'Ezells',Health/Ezells/bdn9-tn3e,b'Filtered View'
b'Health',"b'Health Department inspection results for food service establishments in King County,  2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last Updated on 07/30/2015 and is current from 1/1/2006 to 07/27/2015.'",b'seating final',Health/seating-final/tmne-wmj,b'Filtered View'
b'Health',"b'Health Department inspection results for food service establishments in King County, 2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last Updated on 12/06/2010 and is current from 1/1/2006 to 12/03/2010.'","b""ezell's""",Health/ezell-s/m6t5-67w4,b'Filtered View'
b'Health',"b'Health Department inspection results for food service establishments in King County, 2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last Updated on 11/02/2011 and is current from 1/1/2006 to 10/30/2011.'",b'Food Insp since Jan 2011',Health/Food-Insp-since-Jan-2011/pph9-v8tz,b'Filtered View'
