category,descrip,name,topics,type
,"b'This dataset is an inventory of the assets on the site. Here you can track the performance of data publishing, metadata maintenance, as well as present an overview of what data exists on the site.\nNote: This is only updated once per day.'",b'Published datasets',et/Published-datasets/7man-jc65,b'Filtered View'
b'Public Safety and Preparedness',"b'This dataset represents complaints of misconduct originated by a citizen either directly to NOPD or through the IPM or by an employee of the Police Department per NOPD Misconduct Complaint Intake and Investigation policy. This dataset includes reports of misconduct including initial reports that may be subject to change through the review process. This dataset reflects the most current status and information of these reports. This dataset is updated nightly.Disclaimer: The New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.'",b'NOPD Misconduct Complaints',Public-Safety-and-Preparedness/NOPD-Misconduct-Complaints/gz2m-ef5u,b'Dataset'
b'Public Safety and Preparedness',"b'All Police Reports filed by NOPD officers including incident and supplemental reports containing the item number, location, disposition, signal, charges, offender race, offender gender, offender age, victim age, victim gender, and victim race. Police Reports can be updated when subsequent information is determined as a result of an investigation. In order to protect the privacy of victims, addresses are shown at the block level.\nDisclaimer: The New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. For instance, the data contains ages that may be negative due to data entry errors. NOPD has chosen to publish the data as it exists in the source systems for transparency and has instituted data validation where appropriate to ensure quality data in the future. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.'",b'Electronic Police Report 2017',Public-Safety-and-Preparedness/Electronic-Police-Report-2017/qtcu-97s9,b'Dataset'
b'Public Safety and Preparedness',"b'All Police Reports filed by NOPD officers including incident and supplemental reports containing the item number, location, disposition, signal, charges, offender race, offender gender, offender age, victim age, victim gender, and victim race. Police Reports can be updated when subsequent information is determined as a result of an investigation. In order to protect the privacy of victims, addresses are shown at the block level.Disclaimer: The New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. For instance, the data contains ages that may be negative due to data entry errors. NOPD has chosen to publish the data as it exists in the source systems for transparency and has instituted data validation where appropriate to ensure quality data in the future. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.'",b'Electronic Police Report 2016',Public-Safety-and-Preparedness/Electronic-Police-Report-2016/4gc2-25he,b'Dataset'
b'Public Safety and Preparedness',"b'This dataset reflects incidents that have been reported to the New Orleans Police Department in 2017. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.\nDisclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.'",b'Calls for Service 2017',Public-Safety-and-Preparedness/Calls-for-Service-2017/bqmt-f3jk,b'Dataset'
b'Economy and Workforce',b'An Occupational or General Business license is required if you will be conducting business in Orleans Parish. This list shows businesses that have completed the licensing process and does not include businesses that have been issued a Temporary Occupational License. More information on business services here: http://www.nola.gov/onestop/business/occupational-general-business/occupational-general-business-license/. Data provided by Bureau of Revenue.',b'Occupational Business Licenses',Economy-and-Workforce/Occupational-Business-Licenses/hjcd-grvu,b'Dataset'
b'Economy and Workforce',b'Alcohol Beverage Outlet licenses within the City of New Orleans. Data provided by Bureau of Revenue.',b'Alcohol Beverage Outlet (ABO) - Active Licenses',Economy-and-Workforce/Alcohol-Beverage-Outlet-ABO-Active-Licenses/uiry-as9x,b'Dataset'
b'Economy and Workforce',"b'Alcohol Beverage Outlet licenses within the City of New Orleans. Data provided by City of New Orleans, Bureau of Revenue.'",b'Alcohol Beverage Outlets (ABO) - Map',Economy-and-Workforce/Alcohol-Beverage-Outlets-ABO-Map/vtqx-96gr,b'Map'
b'Economy and Workforce',"b'City of New Orleans, Live Entertainment Permits. Data provided by Bureau of Revenue.'",b'NOLA Live Entertainment Permits',Economy-and-Workforce/NOLA-Live-Entertainment-Permits/fi6r-tec,b'Dataset'
b'Economy and Workforce',"b'City of New Orleans, Live Entertainment Permits. Data provided by Bureau of Revenue.'",b'NOLA Live Entertainment Permits - Map',Economy-and-Workforce/NOLA-Live-Entertainment-Permits-Map/26ee-vay,b'Map'
