category,descrip,name,topics,type
b'Government & Finance',b'Go to http://on.ny.gov/1xRIvPz on the New York Lottery website for past Cash 4 Life results and payouts.',b'Lottery Cash 4 Life Winning Numbers: Beginning 2014',Government-Finance/Lottery-Cash-4-Life-Winning-Numbers-Beginning-2014/kwxv-fwze,b'Dataset'
b'Government & Finance',b'Go to http://on.ny.gov/1Cx6zvs or http://on.ny.gov/1KYjE6X on the New York Lottery website for past Daily Numbers/Win-4 results and payouts.',b'Lottery Daily Numbers/Win-4 Winning Numbers: Beginning 1980',Government-Finance/Lottery-Daily-Numbers-Win-4-Winning-Numbers-Beginn/hsys-3def,b'Dataset'
b'Government & Finance',b'Go to http://on.ny.gov/1J8tPSN on the New York Lottery website for past Mega Millions results and payouts.',b'Lottery Mega Millions Winning Numbers: Beginning 2002',Government-Finance/Lottery-Mega-Millions-Winning-Numbers-Beginning-20/5xaw-6ayf,b'Dataset'
b'Government & Finance',b'Go to http://on.ny.gov/1GpWiHD on the New York Lottery website for past Powerball results and payouts.',b'Lottery Powerball Winning Numbers: Beginning 2010',Government-Finance/Lottery-Powerball-Winning-Numbers-Beginning-2010/d6yy-54nr,b'Dataset'
b'Government & Finance',b'Go to http://on.ny.gov/1DYGlWJ on the New York Lottery website for past Take 5 results and payouts.',b'Lottery Take 5 Winning Numbers',Government-Finance/Lottery-Take-5-Winning-Numbers/dg63-4siq,b'Dataset'
b'Transparency',b'The data included here is the information in the NYS Attorney Registration Database that is deemed public information pursuant to 22 NYCRR 118.',b'NYS Attorney Registrations',Transparency/NYS-Attorney-Registrations/eqw2-r5nb,b'Dataset'
b'Government & Finance',b'Go to http://on.ny.gov/1BbsR6n on the New York Lottery website for past NY Lotto results and payouts.',b'Lottery NY Lotto Winning Numbers: Beginning 2001',Government-Finance/Lottery-NY-Lotto-Winning-Numbers-Beginning-2001/6nbc-h7bj,b'Dataset'
b'Energy & Environment',"b'Solar Electric Programs Reported by NYSERDA; Beginning 2000 dataset includes the following data points for projects completed and in the pipeline (not yet installed) in the Incentive Program beginning December 2000: Project number, city, county, state, zip code, sector, program type, solicitation, electric utility, purchase type, date application received, date completed, project status, contractor, primary inverter manufacturer, total inverter quantity, primary inverter model number, primary PV module manufacturer, total PV module quantity, primary PV module model number, project cost, incentive amount, total nameplate capacity, expected annual kilowatt-hour production, remote net metering, affordable solar, community distributed generation project and Green Jobs-Green New York participant. Blank cells represent data that were not required or are not currently available.  Contractor data is provided for completed projects only, except for Community Distributed Generation projects. Pipeline projects are subject to change.'",b'Solar Electric Programs Reported by NYSERDA Data Lens: Beginning 2000',Energy-Environment/Solar-Electric-Programs-Reported-by-NYSERDA-Data-L/fpw7-7ctk,b'Data Lens'
b'Economic Development',b'In the past decade the number of farmers markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers markets as well as the name and phone number of the market manager.',b'Farmers Markets in New York State Map',Economic-Development/Farmers-Markets-in-New-York-State-Map/gfni-eg8,b'Map'
b'Government & Finance',b'Go to http://on.ny.gov/1BbsWqI on the New York Lottery website for past Quick Draw results and payouts.',b'Lottery Quick Draw Winning Numbers: Beginning 2013',Government-Finance/Lottery-Quick-Draw-Winning-Numbers-Beginning-2013/7sqk-ycpk,b'Dataset'
