category,descrip,name,topics,type
,"b'This dataset includes all itemized monetary contributions ($100 or more) e-filed on Fair Political Practices Commission (FPPC) Form 460 Schedule ""A"" Monetary Contributions from 2011 to the present. The data is current as of the last modified date on this dataset. See the data key for column definitions: https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76'",b'Essentials',Essentials/uzsp-6qv,b'Filtered View'
b'Financial',,b'City of Oakland Proposed Policy Budget FY2013-15',Financial/City-of-Oakland-Proposed-Policy-Budget-FY2013-15/b8mb-8tti,b'Dataset'
b'Public Services',,b'Wildfire Prevention Assessment District Boundries',Public-Services/Wildfire-Prevention-Assessment-District-Boundries/yacb-iw3,b'Map'
b'Public Safety',"b'The Oakland Police Department provides crime data to the public through the City of Oakland\xe2\x80\x99s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. \nThe file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.'",b'CrimeWatch Maps Past 90-Days',Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7,b'Dataset'
b'Infrastructure',"b'REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline\xe2\x80\x99s prior tracking system when they switched to the same system as the Oakland Call Center in August 2012. All others are 6 digits. \nDATETIMEINIT = The Date that the request was initiated. \nSOURCE = Indicates if the request was received via SeeClickFix, via the Report A Problem website at www.oaklandpw.com, or via (Phone or Email). \nDESCRIPTION = Type of issue. Most of these are self-explanatory. Notes: \xe2\x80\x9ctest template\xe2\x80\x9d and \xe2\x80\x9cThis is a test subject. Ignore this ticket.\xe2\x80\x9d were for testing/training purposes only. Descriptions starting with \xe2\x80\x9cBusiness\xe2\x80\x9d \xe2\x80\x9cCity Services\xe2\x80\x9d \xe2\x80\x9cCityBldg\xe2\x80\x9d (no space) \xe2\x80\x9cEvents\xe2\x80\x9d \xe2\x80\x9cMisc\xe2\x80\x9d are/were used by the Recycling Hotline \xe2\x80\x9cTE\xe2\x80\x9d means \xe2\x80\x9cTraffic Engineering\xe2\x80\x9d \nREQCATEGORY = Request Category \nREQADDRESS = Request Address An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline. \nSTATUS = The status as of date of upload. Pending: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Oakland Call Center received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that the City is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request \nDATETIMECLOSED = The Date that the request was closed \nSRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude. \nREFERREDTO = If the status is Referred, this shows who it was referred to. \nCOUNCILDISTRICT = City Council District of the REQADDRESS.\nBEAT = Police Beat of the REQADDRESS (see http://mapgis.oaklandnet.com/PoliceDistricts/ for a map of police beats)'",b'Service requests received by the Oakland Call Center',Infrastructure/Service-requests-received-by-the-Oakland-Call-Cent/quth-gb8,b'Dataset'
b'Public Safety',"b'The Oakland Police Department provides crime data to the public through the City of Oakland\xe2\x80\x99s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. \nThe file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.'",b'90daybutters',Public-Safety/90daybutters/j4eu-nx3y,b'Map'
b'Infrastructure',"b'REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit REQUESTIDs were imported from the Recycling Hotline\xe2\x80\x99s prior tracking system when they switched to the same system as the rest of Public Works in August 2012. All others are 6 digits. \nDATETIMEINIT = The Date that the request was initiated. \nSOURCE = Indicates if the request was received via SeeClickFix, via the Report A Problem website at www.oaklandpw.com, or via (Phone or Email). \nDESCRIPTION = Type of issue. Most of these are self-explanatory. Notes: \xe2\x80\x9ctest template\xe2\x80\x9d and \xe2\x80\x9cThis is a test subject. Ignore this ticket.\xe2\x80\x9d were for testing/training purposes only. Descriptions starting with \xe2\x80\x9cBusiness\xe2\x80\x9d \xe2\x80\x9cCity Services\xe2\x80\x9d \xe2\x80\x9cCityBldg\xe2\x80\x9d (no space) \xe2\x80\x9cEvents\xe2\x80\x9d \xe2\x80\x9cMisc\xe2\x80\x9d are/were used by the Recycling Hotline \xe2\x80\x9cTE\xe2\x80\x9d means \xe2\x80\x9cTraffic Engineering\xe2\x80\x9d \nREQCATEGORY = Request Category \nREQADDRESS = Request Address An address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline. \nSTATUS = The status as of January 5, 2015. Pending: Request received for review OPEN: Request assigned to work unit WOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done) CLOSED: Request is resolved REFERRED: Public Works received the request and forwarded it to another entity (see REFERREDTO) UNFUNDED: Request is for an service that Public Works is not funded to provide CANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request \nDATETIMECLOSED = The Date that the request was closed \nSRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude. \nREFERREDTO = If the status is Referred, this shows who it was referred to. \nCOUNCILDISTRICT = City Council District of the REQADDRESS.'",b'Dumping heat map',Infrastructure/Dumping-heat-map/6px3-jz3j,b'Map'
b'Public Safety',"b'The Oakland Police Department provides crime data to the public through the City of Oakland\xe2\x80\x99s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. \nThe file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.'",b'90-Day Crime Map',Public-Safety/90-Day-Crime-Map/kzer-wcj5,b'Map'
b'Public Safety',"b'The Oakland Police Department provides crime data to the public through the City of Oakland\xe2\x80\x99s Crime Watch web site. This site presents the data in a geographic format, which allows users of the information to produce maps and/or reports. \nThe file that you are about to electronically download, copy, or otherwise retrieve by other means is a tabular representation of the same data without maps or reporting capabilities. Be advised that the exact address of each crime has been substituted with the block address to protect the privacy of the victim.'",b'90 day crime map',Public-Safety/90-day-crime-map/8jcq-6ucy,b'Map'
b'Infrastructure',"b'REQUESTID = The service request number. This should be shown as an integer without decimals. 5-digit \nREQUESTIDs were imported from the Recycling Hotline\xe2\x80\x99s prior tracking system when they switched to the same system as the rest of Public Works in August 2012. All others are 6 digits.\nDATETIMEINIT = The Date/Time that the request was initiated.\nDESCRIPTION = Type of issue. Most of these are self-explanatory. Notes:\n\xe2\x80\x9ctest template\xe2\x80\x9d and \xe2\x80\x9cThis is a test subject. Ignore this ticket.\xe2\x80\x9d were for testing/training purposes only.\nDescriptions starting with \xe2\x80\x9cBusiness\xe2\x80\x9d \xe2\x80\x9cCity Services\xe2\x80\x9d \xe2\x80\x9cCityBldg\xe2\x80\x9d (no space) \xe2\x80\x9cEvents\xe2\x80\x9d \xe2\x80\x9cMisc\xe2\x80\x9d are/were used by the Recycling Hotline\n\xe2\x80\x9cTE\xe2\x80\x9d means \xe2\x80\x9cTraffic Engineering\xe2\x80\x9d\nREQCATEGORY = Request Category\nREQADDRESS = Request Address\nAn address of ZZ indicates that the address was not recorded, usually this is for general inquiries to the Recycling Hotline.\nSTATUS = The status as of 1/30/13. \nPending: Request received for review\nOPEN: Request assigned to work unit \nWOCREATE: Work Order created for work to be done (not all work units use this status, so Open service requests may also have work orders created for work to be done)\nCLOSED: Request is resolved\nREFERRED: Public Works received the request and forwarded it to another entity (see REFERREDTO)\nUNFUNDED: Request is for an service that Public Works is not funded to provide\nCANCEL: Request was canceled, generally because it was created erroneously, it was used for testing/training, or it is a request that was received that duplicated an existing unresolved request\nDATETIMECLOSED = The Date/Time that the request was closed\nSRX, SRY= Coordinates of the issue. Note that this is in NAD_1983_StatePlane_California_III_FIPS_0403_Feet, not latitude/longitude.\nREFERREDTO = If the status is Referred, this shows who it was referred to.'",b'Service requests received by Public Works',Infrastructure/Service-requests-received-by-Public-Works/j4xf-2t25,b'Dataset'
