category,descrip,name,topics,type
b'Police',"b'This is the City of Raleigh Police Incident Data from 2005-present.  Each row represents a report made by the police officer, but not all reports may have resulted in arrests or convictions. This dataset updates the previous day\'s records daily by 11am. The locations provided with this dataset DO NOT reflect the exact locations where the incidents occurred. The locations provided represent a randomized location within the general neighborhood area where the incident was reported. \nTo protect the privacy of victims and their families further, the Raleigh Police Department (RPD) has redacted all location information associated with incidents involving sexual assault, child abuse, juvenile incidents, domestic abuse and other related incidents. The column heading ""LCR DESC"" represents the description of Incident Type. \nThe column heading ""LCR"" is the local code used by police to categorize the Incident Type Years covered: 2005 - present day.\nThis data is collected and presented according to the Summary Uniform Crime Reporting (UCR) standard set by the FBI. Find out more about the standards here: https://ucr.fbi.gov/ucr-program-data-collections#National & detailed information about Summary UCR method here: https://ucr.fbi.gov/nibrs/summary-reporting-system-srs-user-manual'",b'Police Crime Incident Data from Jan 1 2005 - Present - Master (Summary UCR)',Police/Police-Crime-Incident-Data-from-Jan-1-2005-Present/csw9-dd5k,b'Dataset'
b'Urban Planning',"b""This dashboard shows basic information for all submitted development plans that are approved or under review. Development plans include Master Plans, Subdivision, Site Plans, Administrative Site Review, and Group Housing plans. Actual copies of submitted and approved plans can be found in the table below for each record. Or, search here to find copies of recent submitted development plans.\xc2\xa0Issued and Pending Permits\xc2\xa0can be explored on a different dashboard.\xc2\xa0For additional reports and searches, you can visit Raleigh's online development center.""",b'Development Plans Dashboard (Discontinued)',Urban-Planning/Development-Plans-Dashboard-Discontinued-/66ek-7py6,b'Data Lens'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'",b'All Police Incident Master Data - Heat Map',Police/All-Police-Incident-Master-Data-Heat-Map/epx6-s8q4,b'Map'
b'Urban Planning',"b'This dataset includes all pending and approved permits related to buildings, as well as non-construction inspections permits. Dataset is updated daily at 5:30pm. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.\nImprovements to this dataset include alignment with a national data standards called BLDS, including additional fields related to contractors.\nThis dataset replaced the previous COR Building Permit dataset created in 2014 found here: https://data.raleighnc.gov/d/hk3n-ieai'",b'Building Permits Master - Official BLDS Standard (NEW)',Urban-Planning/Building-Permits-Master-Official-BLDS-Standard-NEW/xce4-kemu,b'Dataset'
b'Public Safety',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.\nSee the attached ""NFIRS_CODES.pdf"" with all of the codes and an explanation of them. \nThe CoR Fire Department excludes incident types of 300 through 399 and type 661 because of the calls being EMS related and our concerns for privacy.'","b'Fire Incident Data - January 1, 2007 to Most Current Release'",Public-Safety/Fire-Incident-Data-January-1-2007-to-Most-Current-/g69m-36bw,b'Dataset'
b'Police',"b'This dataset only includes Police Incidents reported from the previous calendar day, which is updated every day at 11AM, provided by City of Raleigh Police Department.  The locations provided represent a randomized location within the general neighborhood area where the incident was reported. To protect the privacy of victims and their families further, the Raleigh Police Department (RPD) has redacted all location information associated with incidents involving sexual assault, child abuse, juvenile incidents, domestic abuse and other related incidents. \nColumn Heading = Code of Incident Type LCR DESC Column Heading = Description of Incident Type\nFor the full dataset of all Police Incidents since 2005: https://data.raleighnc.gov/Police/Police-Incident-Data-All-Dates-Master-File/csw9-dd5k'",b'Daily Police Incidents',Police/Daily-Police-Incidents/guyh-emm5,b'Dataset'
b'Police',b'Daily police incident reports from the previous 24 hour period.',b'Police Incident Data Daily Snapshot',Police/Police-Incident-Data-Daily-Snapshot/hmtb-mqf,b'Filtered View'
b'Fiscal Year 2014 Proposed to Council',b'The published data set shows the FY2012-13 Adopted and FY2013-14 Proposed Operating Budget detail at the division and line-item level. See the attached documentation for a complete description of the data set and the budget reporting process.',b'Adopted FY13 Budget and Proposed FY14 Budget',Fiscal-Year-2014-Proposed-to-Council/Adopted-FY13-Budget-and-Proposed-FY14-Budget/j4zz-52b,b'Dataset'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'",b'All Police Incident by STAGE 1 type',Police/All-Police-Incident-by-STAGE-1-type/m2ue-t8,b'Map'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015\nLCR Column Heading = Code of Incident Type\nLCR DESC Column Heading = Description of Incident Type'",b'Driving-While-Impaired-2014-2015',Police/Driving-While-Impaired-2014-2015/txgv-qk,b'Filtered View'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'",b'All Police Part 2 Incident Data',Police/All-Police-Part-2-Incident-Data/fieu-qab,b'Filtered View'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015\nLCR Column Heading = Code of Incident Type\nLCR DESC Column Heading = Description of Incident Type'",b'Tree map',Police/Tree-map/7qci-xinf,b'Chart'
