category,descrip,name,topics,type
b'Culture and Recreation',"b""If you love movies, and you love San Francisco, you're bound to love this -- a listing of filming locations of movies shot in San Francisco starting from 1924. You'll find the titles, locations, fun facts, names of the director, writer, actors, and studio for most of these films.""",b'Film Locations in San Francisco',Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,b'Dataset'
b'Public Safety',b'Incidents are derived from SFPD Crime Incident Reporting system.   Updated on a daily basis;data available from 1 Jan 2003 up until two weeks from current date.',b'Map of Police Department Incidents',Public-Safety/Map-of-Police-Department-Incidents/gxxq-x39z,b'Map'
b'Public Safety',"b'***As of July 19, 2015, the PD District boundaries have been updated through a redistricting process. These new boundaries are not reflected in the dataset yet so you cannot compare data from July 19, 2015 onward to official reports from PD with the Police District column. We are working on an update to the dataset to reflect the updated boundaries starting with data entered July 19 onward.***\nIncidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2003 up until two weeks ago from current date. Please note: San Francisco police have implemented a new system for tracking crime. The dataset included here is still coming from the old system, which is in the process of being retired (a multi-year process).  Data included here is no longer the official SFPD data. We will migrate to the new system for DataSF in the upcoming months.'",b'Police Department Incidents',Public-Safety/Police-Department-Incidents/tmnf-yvry,b'Dataset'
b'Economy and Community',"b'This dataset includes the locations of businesses that pay taxes to the City and County of San Francisco. Each registered business may have multiple locations and each location is a single row. The Treasurer & Tax Collector\xe2\x80\x99s Office collects this data through business registration applications, account update/closure forms, and taxpayer filings. The data is collected to help enforce the Business and Tax Regulations Code including, but not limited to: Article 6, Article 12, Article 12-A, and Article 12-A-1. http://sftreasurer.org/registration'",b'Registered Business Locations - San Francisco',Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdi,b'Dataset'
b'City Infrastructure',"b""***This dataset was reset and modified on 04/19/2017. Read the full notice of changes in the 'About' section of this dataset.*** \nSF311 cases created since 7/1/2008 with location information. For more information about Open311, see http://www.open311.org/.""",b'311 Cases',City-Infrastructure/311-Cases/vw6y-z8j6,b'Dataset'
b'Health and Social Services',b'Provides the seniority list for entry into HSA 90 day emergency shelter waitlist. The list will be generated on 2/24/14 and updated twice daily.',b'HSA 90 day emergency shelter waitlist',Health-and-Social-Services/HSA-90-day-emergency-shelter-waitlist/w4sk-nq57,b'Dataset'
b'Geographic Locations and Boundaries',"b""A list of officially valid street names contained in the City's GIS Basemap""",b'Street Names',Geographic-Locations-and-Boundaries/Street-Names/6d9h-4u5,b'Dataset'
b'Economy and Community',"b'Mobile Food Facility Permits including name of vendor, location, type of food sold and status of permit.  Mobile Food Facility Permit Schedule is here https://data.sfgov.org/d/jjew-r69b'",b'Mobile Food Facility Permit',Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-,b'Dataset'
b'Public Safety',"b'***As of July 19, 2015, the PD District boundaries have been updated through a redistricting process. These new boundaries are not reflected in the dataset yet so you cannot compare data from July 19, 2015 onward to official reports from PD with the Police District column. We are working on an update to the dataset to reflect the updated boundaries starting with data entered July 19 onward.***\nIncidents derived from SFPD Crime Incident Reporting system  Updated daily, showing data from 1/1/2014 up until two weeks ago from current date. Address and location has been anonymized by moving to mid-block or to an intersection.'",b'Police Department Incidents - Previous Year (2016)',Public-Safety/Police-Department-Incidents-Previous-Year-2016-/ritf-b9ki,b'Filtered View'
b'Energy and Environment',"b'Data updated 6/19/2017. The Existing Commercial Buildings Energy Performance Ordinance (Environment Code Chapter 20) requires that each non-residential building with at least 10,000 square feet of conditioned (heated or cooled) space must be benchmarked using Energy Star Portfolio Manager annually, and undergo an energy audit or retrocommissioning at least once every 5 years. \nMore information: www.sfenvironment.org/ecb This dataset lists compliance status for private-sector (non-municipal) properties where the owner has been notified a building is subject to the ordinance. Fields reported have expanded as of early October 2015 to include energy use intensity, the 1-100 Portfolio Manager rating, and estimated greenhouse gas emissions from annual energy consumption.\nView the data lens feature here: https://data.sfgov.org/Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/v3c6-n4qs'",b'Existing Commercial Buildings Energy Performance Ordinance Report',Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/j2j3-acqj,b'Dataset'
