category,descrip,name,topics,type
b'311 Call Center',,b'311 Constituent Services Daily Calls',311-Call-Center/311-Constituent-Services-Daily-Calls/vqwi-n3,b'Dataset'
b'311 Call Center',b'This dataset includes all calls for service in which a work order is created. This dataset is a subset of all 311 Calls.',b'311 Daily Service Requests',311-Call-Center/311-Daily-Service-Requests/xs7t-pxkc,b'Dataset'
b'City Services',b'All building permits are submitted online via the Citizenserve software. You can see detailed information here about these applications. Online submitter of building applications began on May of 2014.',b'ISD Building Permit Daily Applications',City-Services/ISD-Building-Permit-Daily-Applications/q3yh-mp87,b'Dataset'
b'Finance',"b'Under Massachusetts G. L. c. 66, \xc2\xa7 10(d), an employee\xe2\x80\x99s name and place of employment may be exempt from public records disclosure if the employee or a family member was a victim of an adjudicated crime or is a victim of domestic violence, including but not limited to sexual assault or rape, or provide family planning services or provide training in family planning services, or have a court order protecting you from having your name disclosed in such a manner'",b'City Of Somerville Weekly Payroll Gross Wages Over 50K_2015',Finance/City-Of-Somerville-Weekly-Payroll-Gross-Wages-Over/gby8-rz93,b'Dataset'
b'311 Call Center',b'This dataset includes all calls for service in which a work order is created. This dataset is a subset of all 311 Calls.',b'311 WO Issues',311-Call-Center/311-WO-Issues/uczx-j68,b'Filtered View'
b'Public Safety',"b'Robbery, burglary, theft of motor vehicle & theft from motor vehicle since 2005. Exact addresses are not displayed for privacy reasons.'",b'Police - Selected Criminal Incidents',Public-Safety/Police-Selected-Criminal-Incidents/4jey-jqxb,b'Dataset'
b'Finance',"b'Under Massachusetts G. L. c. 66, \xc2\xa7 10(d), an employee\xe2\x80\x99s name and place of employment may be exempt from public records disclosure if the employee or a family member was a victim of an adjudicated crime or is a victim of domestic violence, including but not limited to sexual assault or rape, or provide family planning services or provide training in family planning services, or have a court order protecting you from having your name disclosed in such a manner'",b'City Of Somerville Weekly Payroll Gross Wages Over 50K_2016',Finance/City-Of-Somerville-Weekly-Payroll-Gross-Wages-Over/q35q-jc9,b'Dataset'
,,b'Somerville 2010 Census Demographics',Somerville-2010-Census-Demographics/ecmw-4,b'Dataset'
b'Happiness',"b'The City of Somerville sends out a happiness survey to a random sample of Somerville residents asking them to rate their personal happiness and their satisfaction with City services.  This combined dataset includes the survey responses from 2011, 2013, and 2015'","b'Somerville Happiness Survey responses - 2011, 2013, 2015'",Happiness/Somerville-Happiness-Survey-responses-2011-2013-20/w898-3df,b'Dataset'
b'Public Health',"b""The City of Somerville conducts the Youth Risk Behavior Survey each year to gather data about students' risk behaviors. On an annual basis, Health & Human Services staff coordinate a survey with either High School or Middle School students in alternating years.\nThe data presented in this table is from high school students from 2002 through 2014 and includes questions about tobacco use, alcohol and other drug use, sexual behaviors that might lead to unintended pregnancy or sexually transmitted disease, dietary behaviors, physical activity, and behaviors associated with intentional or unintentional injuries. Data from the YRBS provide accurate estimates of the prevalence of risk behaviors among public school students in the City, and are important for planning health education and risk prevention programs.\nAttached is the questionnaire used in the survey which includes information regarding the variables used in the dataset.""",b'Somerville High School YRBS Raw Data 2002-2014',Public-Health/Somerville-High-School-YRBS-Raw-Data-2002-2014/qvup-qejq,b'Dataset'
